event_time,user_host,thread_id,server_id,command_type,argument
"2021-12-11 23:34:44.438584,""root[root] @ localhost [::1]"",14,1,Query,..."
"2021-12-11 23:34:44.440725,""root[root] @ localhost [::1]"",14,1,Query,..."
"2021-12-11 23:34:44.443362,""root[root] @ localhost [::1]"",14,1,Query,..."
"2021-12-11 23:34:44.445445,""root[root] @ localhost [::1]"",14,1,Query,..."
"2021-12-11 23:34:44.447812,""root[root] @ localhost [::1]"",14,1,Query,..."
"2021-12-11 23:34:44.449741,""root[root] @ localhost [::1]"",14,1,Query,..."
"2021-12-11 23:34:44.452201,""root[root] @ localhost [::1]"",14,1,Query,..."
"2021-12-11 23:34:44.454483,""root[root] @ localhost [::1]"",14,1,Query,..."
"2021-12-11 23:34:48.728472,""root[root] @ localhost [::1]"",14,1,Query,..."
"2021-12-11 23:34:48.732187,""root[root] @ localhost [::1]"",14,1,Query,..."
"2021-12-11 23:36:43.270196,""root[root] @ localhost [::1]"",15,1,Query,..."
"2021-12-11 23:36:46.770961,""root[root] @ localhost [::1]"",14,1,Query,..."
"2021-12-11 23:36:46.814925,""root[root] @ localhost [::1]"",14,1,Query,..."
"2021-12-11 23:36:46.892727,""root[root] @ localhost [::1]"",14,1,Query,..."
"2021-12-11 23:36:46.894393,""root[root] @ localhost [::1]"",14,1,Query,..."
"2021-12-11 23:36:46.895891,""root[root] @ localhost [::1]"",15,1,Query,..."
"2021-12-11 23:36:46.898255,""root[root] @ localhost [::1]"",15,1,Query,..."
"2021-12-11 23:36:46.899655,""root[root] @ localhost [::1]"",15,1,Query,..."
"2021-12-11 23:36:46.901106,""root[root] @ localhost [::1]"",15,1,Query,..."
"2021-12-11 23:36:46.902540,""root[root] @ localhost [::1]"",15,1,Query,..."
"2021-12-11 23:36:46.903928,""root[root] @ localhost [::1]"",15,1,Query,..."
"2021-12-11 23:36:46.905297,""root[root] @ localhost [::1]"",15,1,Query,..."
"2021-12-11 23:36:46.906929,""root[root] @ localhost [::1]"",15,1,Query,..."
"2021-12-11 23:36:46.919649,""root[root] @ localhost [::1]"",15,1,Query,..."
"2021-12-11 23:36:46.921527,""root[root] @ localhost [::1]"",15,1,Query,..."
"2021-12-11 23:36:46.922858,""root[root] @ localhost [::1]"",15,1,Query,..."
"2021-12-11 23:36:46.924189,""root[root] @ localhost [::1]"",15,1,Query,..."
"2021-12-11 23:36:46.927335,""root[root] @ localhost [::1]"",14,1,Query,..."
